[ 2012-09-30T11:51:08+08:00 ] /Ibike/ | ERR: (ThinkException) �������ӷ���һ��ʱ���û����ȷ�𸴻����ӵ�����û�з�Ӧ�����ӳ���ʧ�ܡ�
[ 2012-09-30T13:04:23+08:00 ] /Ibike/index.php/Public/verify | NOTIC: [8] Use of undefined constant png - assumed 'png' PublicAction.class.php 第 15 行.
[ 2012-09-30T16:37:15+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-30T16:37:15+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001427s ]
[ 2012-09-30T16:37:15+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001585s ]
[ 2012-09-30T16:37:16+08:00 ] /Ibike/ | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.063782s ]
[ 2012-09-30T16:37:16+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant “Page” - assumed '“Page”' IndexAction.class.php 第 7 行.
[ 2012-09-30T16:37:16+08:00 ] /Ibike/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_user` LIMIT 1   [ RunTime:0.000936s ]
[ 2012-09-30T16:37:16+08:00 ] /Ibike/ | SQL: SELECT * FROM `think_user` LIMIT 0,5   [ RunTime:0.001722s ]
[ 2012-09-30T16:37:16+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2012-09-30T16:37:16+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.004886s ]
[ 2012-09-30T16:37:16+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.005103s ]
[ 2012-09-30T16:37:16+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-30T16:37:16+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.335629s ]
[ 2012-09-30T16:37:16+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.335810s ]
[ 2012-09-30T16:37:16+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-30T16:37:16+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.001456s ]
[ 2012-09-30T16:37:16+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.001511s ]
[ 2012-09-30T16:37:16+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001182s ]
[ 2012-09-30T16:37:16+08:00 ] /Ibike/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001402s ]
[ 2012-09-30T16:37:16+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005935s ]
[ 2012-09-30T16:37:16+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --START--
[ 2012-09-30T16:37:16+08:00 ] /Ibike/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001623s ]
[ 2012-09-30T16:37:16+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001749s ]
[ 2012-09-30T16:37:16+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2012-09-30T16:37:16+08:00 ] /Ibike/index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001603s ]
[ 2012-09-30T16:37:16+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001753s ]
[ 2012-09-30T16:37:16+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2012-09-30T16:37:16+08:00 ] /Ibike/index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001273s ]
[ 2012-09-30T16:37:16+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001366s ]
[ 2012-09-30T16:37:16+08:00 ] /Ibike/index.php/Public/verify | NOTIC: [8] Use of undefined constant png - assumed 'png' PublicAction.class.php 第 15 行.
[ 2012-09-30T17:48:43+08:00 ] /Ibike/index.php/Public/verify/random/0.5589226653988644 | INFO: Tag[ route_check ] --START--
[ 2012-09-30T17:48:43+08:00 ] /Ibike/index.php/Public/verify/random/0.5589226653988644 | INFO: Run CheckRoute Behavior [ RunTime:0.001735s ]
[ 2012-09-30T17:48:43+08:00 ] /Ibike/index.php/Public/verify/random/0.5589226653988644 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001889s ]
[ 2012-09-30T17:48:43+08:00 ] /Ibike/index.php/Public/verify/random/0.5589226653988644 | INFO: Tag[ app_begin ] --START--
[ 2012-09-30T17:48:43+08:00 ] /Ibike/index.php/Public/verify/random/0.5589226653988644 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001426s ]
[ 2012-09-30T17:48:43+08:00 ] /Ibike/index.php/Public/verify/random/0.5589226653988644 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001526s ]
[ 2012-09-30T17:48:43+08:00 ] /Ibike/index.php/Public/verify/random/0.5589226653988644 | NOTIC: [8] Use of undefined constant png - assumed 'png' PublicAction.class.php 第 15 行.
[ 2012-09-30T17:48:44+08:00 ] /Ibike/index.php/Public/verify/random/0.32991089479242347 | INFO: Tag[ route_check ] --START--
[ 2012-09-30T17:48:44+08:00 ] /Ibike/index.php/Public/verify/random/0.32991089479242347 | INFO: Run CheckRoute Behavior [ RunTime:0.001749s ]
[ 2012-09-30T17:48:44+08:00 ] /Ibike/index.php/Public/verify/random/0.32991089479242347 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001946s ]
[ 2012-09-30T17:48:44+08:00 ] /Ibike/index.php/Public/verify/random/0.32991089479242347 | INFO: Tag[ app_begin ] --START--
[ 2012-09-30T17:48:44+08:00 ] /Ibike/index.php/Public/verify/random/0.32991089479242347 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001328s ]
[ 2012-09-30T17:48:44+08:00 ] /Ibike/index.php/Public/verify/random/0.32991089479242347 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001436s ]
[ 2012-09-30T17:48:44+08:00 ] /Ibike/index.php/Public/verify/random/0.32991089479242347 | NOTIC: [8] Use of undefined constant png - assumed 'png' PublicAction.class.php 第 15 行.
[ 2012-09-30T17:48:44+08:00 ] /Ibike/index.php/Public/verify/random/0.9373713666702081 | INFO: Tag[ route_check ] --START--
[ 2012-09-30T17:48:44+08:00 ] /Ibike/index.php/Public/verify/random/0.9373713666702081 | INFO: Run CheckRoute Behavior [ RunTime:0.001296s ]
[ 2012-09-30T17:48:44+08:00 ] /Ibike/index.php/Public/verify/random/0.9373713666702081 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001443s ]
[ 2012-09-30T17:48:44+08:00 ] /Ibike/index.php/Public/verify/random/0.9373713666702081 | INFO: Tag[ app_begin ] --START--
[ 2012-09-30T17:48:44+08:00 ] /Ibike/index.php/Public/verify/random/0.9373713666702081 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001156s ]
[ 2012-09-30T17:48:44+08:00 ] /Ibike/index.php/Public/verify/random/0.9373713666702081 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001260s ]
[ 2012-09-30T17:48:44+08:00 ] /Ibike/index.php/Public/verify/random/0.9373713666702081 | NOTIC: [8] Use of undefined constant png - assumed 'png' PublicAction.class.php 第 15 行.
[ 2012-09-30T18:48:10+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-30T18:48:10+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001213s ]
[ 2012-09-30T18:48:10+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001360s ]
[ 2012-09-30T18:48:10+08:00 ] /Ibike/ | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.013314s ]
[ 2012-09-30T18:48:10+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant “Page” - assumed '“Page”' IndexAction.class.php 第 7 行.
[ 2012-09-30T18:48:10+08:00 ] /Ibike/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_user` LIMIT 1   [ RunTime:0.002127s ]
[ 2012-09-30T18:48:11+08:00 ] /Ibike/ | SQL: SELECT * FROM `think_user` LIMIT 0,5   [ RunTime:0.001368s ]
[ 2012-09-30T18:48:11+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2012-09-30T18:48:11+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001636s ]
[ 2012-09-30T18:48:11+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001755s ]
[ 2012-09-30T18:48:11+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-30T18:48:11+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.027425s ]
[ 2012-09-30T18:48:11+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.027542s ]
[ 2012-09-30T18:48:11+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-30T18:48:11+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.000746s ]
[ 2012-09-30T18:48:11+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.001003s ]
[ 2012-09-30T18:48:11+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000606s ]
[ 2012-09-30T18:48:11+08:00 ] /Ibike/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000802s ]
[ 2012-09-30T18:48:11+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003406s ]
[ 2012-09-30T18:48:11+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --START--
[ 2012-09-30T18:48:11+08:00 ] /Ibike/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000816s ]
[ 2012-09-30T18:48:11+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000907s ]
[ 2012-09-30T18:48:11+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2012-09-30T18:48:11+08:00 ] /Ibike/index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001308s ]
[ 2012-09-30T18:48:11+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001450s ]
[ 2012-09-30T18:48:11+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2012-09-30T18:48:11+08:00 ] /Ibike/index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001170s ]
[ 2012-09-30T18:48:11+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001268s ]
[ 2012-09-30T18:48:11+08:00 ] /Ibike/index.php/Public/verify | NOTIC: [8] Use of undefined constant png - assumed 'png' PublicAction.class.php 第 15 行.
[ 2012-09-30T18:48:14+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-30T18:48:14+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000903s ]
[ 2012-09-30T18:48:14+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001062s ]
[ 2012-09-30T18:48:14+08:00 ] /Ibike/ | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.006066s ]
[ 2012-09-30T18:48:14+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant “Page” - assumed '“Page”' IndexAction.class.php 第 7 行.
[ 2012-09-30T18:48:14+08:00 ] /Ibike/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_user` LIMIT 1   [ RunTime:0.000595s ]
[ 2012-09-30T18:48:14+08:00 ] /Ibike/ | SQL: SELECT * FROM `think_user` LIMIT 0,5   [ RunTime:0.000844s ]
[ 2012-09-30T18:48:14+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2012-09-30T18:48:14+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000794s ]
[ 2012-09-30T18:48:14+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000880s ]
[ 2012-09-30T18:48:14+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-30T18:48:14+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.010683s ]
[ 2012-09-30T18:48:14+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010798s ]
[ 2012-09-30T18:48:14+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-30T18:48:14+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.000614s ]
[ 2012-09-30T18:48:14+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.000641s ]
[ 2012-09-30T18:48:14+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000433s ]
[ 2012-09-30T18:48:14+08:00 ] /Ibike/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000657s ]
[ 2012-09-30T18:48:14+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002566s ]
[ 2012-09-30T18:48:14+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --START--
[ 2012-09-30T18:48:14+08:00 ] /Ibike/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000684s ]
[ 2012-09-30T18:48:14+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000758s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000980s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001121s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.005849s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant “Page” - assumed '“Page”' IndexAction.class.php 第 7 行.
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_user` LIMIT 1   [ RunTime:0.001131s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | SQL: SELECT * FROM `think_user` LIMIT 0,5   [ RunTime:0.001196s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000786s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000869s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.010566s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010667s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.000612s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.000640s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000434s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000645s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002557s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --START--
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000707s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000785s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000900s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001048s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.006053s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant “Page” - assumed '“Page”' IndexAction.class.php 第 7 行.
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_user` LIMIT 1   [ RunTime:0.000867s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | SQL: SELECT * FROM `think_user` LIMIT 0,5   [ RunTime:0.000767s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000800s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000885s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.010610s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010715s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.000584s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.000645s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000447s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000647s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002556s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --START--
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000701s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000778s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001089s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001284s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.005508s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant “Page” - assumed '“Page”' IndexAction.class.php 第 7 行.
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_user` LIMIT 1   [ RunTime:0.000928s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | SQL: SELECT * FROM `think_user` LIMIT 0,5   [ RunTime:0.001009s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000887s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000975s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.010722s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010826s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.000591s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.000625s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000506s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000659s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002612s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --START--
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000692s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000769s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000855s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001020s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.005464s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant “Page” - assumed '“Page”' IndexAction.class.php 第 7 行.
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_user` LIMIT 1   [ RunTime:0.000662s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | SQL: SELECT * FROM `think_user` LIMIT 0,5   [ RunTime:0.000649s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000805s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000889s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.010432s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010534s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.000593s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.000632s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000442s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000655s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002554s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --START--
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001233s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001323s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000875s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001040s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.006318s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant “Page” - assumed '“Page”' IndexAction.class.php 第 7 行.
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_user` LIMIT 1   [ RunTime:0.000580s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | SQL: SELECT * FROM `think_user` LIMIT 0,5   [ RunTime:0.000630s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000798s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000882s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.010496s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010599s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.000595s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.000639s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000437s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000664s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002557s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --START--
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000688s ]
[ 2012-09-30T18:48:15+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000764s ]
[ 2012-09-30T18:48:16+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-30T18:48:16+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000890s ]
[ 2012-09-30T18:48:16+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001038s ]
[ 2012-09-30T18:48:16+08:00 ] /Ibike/ | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.005851s ]
